iter	Passed	Remaining
0	56	56275
1	118	59018
2	161	53574
3	221	55244
4	277	55179
5	329	54650
6	374	53148
7	416	51624
8	457	50414
9	514	50911
10	556	50076
11	608	50066
12	653	49597
13	694	48913
14	737	48456
15	784	48218
16	830	48009
17	873	47667
18	929	48012
19	975	47780
20	1018	47499
21	1067	47450
22	1120	47585
23	1172	47669
24	1227	47883
25	1277	47864
26	1349	48649
27	1405	48784
28	1466	49094
29	1517	49053
30	1564	48893
31	1613	48822
32	1660	48649
33	1704	48415
34	1749	48240
35	1792	48005
36	1838	47851
37	1883	47671
38	1925	47448
39	1967	47212
40	2016	47156
41	2060	46992
42	2106	46888
43	2158	46889
44	2207	46854
45	2254	46750
46	2303	46706
47	2376	47139
48	2422	47024
49	2486	47252
50	2533	47141
51	2587	47174
52	2632	47043
53	2699	47288
54	2752	47299
55	2805	47300
56	2855	47240
57	2900	47100
58	2949	47048
59	2995	46926
60	3060	47105
61	3106	46991
62	3151	46876
63	3216	47040
64	3266	46986
65	3327	47094
66	3376	47013
67	3430	47013
68	3486	47036
69	3536	46983
70	3587	46939
71	3637	46878
72	3684	46782
73	3737	46771
74	3784	46677
75	3835	46632
76	3884	46558
77	3930	46465
78	3985	46459
79	4035	46404
80	4082	46321
81	4127	46212
82	4175	46127
83	4224	46067
84	4280	46076
85	4330	46026
86	4408	46261
87	4462	46251
88	4513	46202
89	4563	46142
90	4608	46036
91	4666	46060
92	4729	46128
93	4781	46082
94	4845	46162
95	4898	46132
96	4956	46141
97	5012	46138
98	5075	46192
99	5123	46110
100	5191	46210
101	5255	46272
102	5306	46215
103	5367	46243
104	5430	46290
105	5486	46269
106	5533	46180
107	5579	46082
108	5637	46079
109	5697	46095
110	5748	46035
111	5801	46000
112	5853	45944
113	5903	45880
114	5959	45865
115	6011	45815
116	6079	45884
117	6131	45831
118	6192	45841
119	6245	45802
120	6293	45719
121	6338	45614
122	6389	45560
123	6436	45470
124	6503	45527
125	6551	45443
126	6594	45333
127	6636	45209
128	6691	45179
129	6761	45249
130	6827	45289
131	6894	45335
132	6950	45308
133	7006	45281
134	7080	45367
135	7127	45277
136	7187	45277
137	7243	45244
138	7309	45274
139	7380	45337
140	7449	45384
141	7517	45423
142	7572	45380
143	7620	45297
144	7681	45293
145	7724	45183
146	7779	45142
147	7846	45167
148	7910	45178
149	7984	45247
150	8045	45238
151	8094	45158
152	8162	45187
153	8222	45172
154	8292	45207
155	8337	45106
156	8398	45096
157	8462	45097
158	8531	45123
159	8595	45124
160	8668	45175
161	8719	45106
162	8786	45116
163	8842	45075
164	8911	45096
165	8967	45051
166	9033	45057
167	9090	45020
168	9145	44968
169	9190	44870
170	9243	44810
171	9307	44807
172	9373	44807
173	9449	44860
174	9520	44884
175	9586	44881
176	9651	44877
177	9710	44841
178	9767	44797
179	9821	44743
180	9876	44690
181	9932	44639
182	9982	44567
183	10057	44604
184	10129	44625
185	10197	44627
186	10247	44553
187	10315	44552
188	10386	44567
189	10456	44578
190	10517	44546
191	10568	44477
192	10642	44500
193	10694	44432
194	10759	44415
195	10817	44373
196	10891	44396
197	10966	44421
198	11036	44423
199	11086	44346
200	11147	44312
201	11224	44340
202	11287	44314
203	11340	44251
204	11410	44250
205	11474	44225
206	11518	44126
207	11569	44052
208	11642	44064
209	11706	44037
210	11767	44001
211	11815	43917
212	11871	43861
213	11924	43798
214	11991	43784
215	12059	43770
216	12123	43745
217	12192	43736
218	12250	43688
219	12310	43647
220	12390	43674
221	12466	43688
222	12522	43632
223	12591	43619
224	12678	43669
225	12733	43610
226	12807	43613
227	12878	43606
228	12957	43626
229	13027	43614
230	13088	43570
231	13151	43534
232	13208	43479
233	13280	43472
234	13327	43385
235	13372	43291
236	13435	43254
237	13485	43175
238	13553	43155
239	13616	43119
240	13687	43106
241	13754	43081
242	13822	43059
243	13887	43029
244	13959	43017
245	14016	42960
246	14065	42879
247	14118	42810
248	14181	42771
249	14239	42718
250	14316	42722
251	14391	42716
252	14454	42678
253	14515	42631
254	14577	42589
255	14649	42575
256	14715	42542
257	14775	42493
258	14845	42471
259	14913	42445
260	14965	42372
261	15030	42338
