local,tipo,denominacion,coordenadas,latitud,longitud,elev,uom_elev,ref,distancia_ref,direccion_ref,condicion,control,region,uso,trafico,sna,concesionado,provincia
ACB,Aeródromo,CORONEL BOGADO/AGROSERVICIOS,"33°16'20""S  60°34'14""W",-60.57066,-33.27226,44.0,Metros,Coronel Bogado,6.0,NE,PRIVADO,NOCONTROL,RACE,AEROAPP,Nacional,NO,NO,SANTA FÉ
ACH,Aeródromo,GENERAL ACHA,"37°24' 6""S  64°36'49""W",-64.61351,-37.40164,277.0,Metros,General Acha,3.0,SO,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,LA PAMPA
ACM,Aeródromo,ARRECIFES/LA CURA MALAL,"34° 4'33""S  60° 8'30""W",-60.1417,-34.07574,37.0,Metros,Arrecifes,4.0,OSO,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
ADO,Aeródromo,PUERTO DESEADO,"47°44' 6""S  65°54'15""W",-65.9041,-47.73511,82.0,Metros,Puerto Deseado,2.0,N,PUBLICO,AERADIO,RASU,CIVIL,Nacional,NO,NO,SANTA CRUZ
ADT,Aeródromo,BANDERA/AGROSERVICIOS DOÑA TERESA,"28°51'19""S  62°15'53""W",-62.26462,-28.85541,75.0,Metros,Bandera,4.0,N,PRIVADO,NOCONTROL,RANO,AEROAPP,Nacional,NO,NO,SANTIAGO DEL ESTERO
ADU,Aeródromo,BANDERA/DUTTO,"28°52' 1""S  62°14'17""W",-62.23812,-28.86691,87.0,Metros,Bandera,3.0,NE,PRIVADO,NOCONTROL,RANO,AEROAPP,Nacional,NO,NO,SANTIAGO DEL ESTERO
AER,Aeródromo,BUENOS AIRES/AEROPARQUE J. NEWBERY,"34°33'32""S  58°24'59""W",-58.41638889,-34.55888889,5.6,Metros,Ciudad de Buenos Aires,2.0,NE,PUBLICO,CONTROL,RACE,JOINT,Internacional,SI,SI,CIUDAD AUTÓNOMA DE BUENOS AIRES
AGI,Aeródromo,PIEDRA DEL ÁGUILA,"40°11'32""S  70° 0'39""W",-70.01075,-40.19232,649.0,Metros,Piedra del Águila,17.0,SSE,PRIVADO,NOCONTROL,RACE,,Nacional,NO,NO,NEUQUÉN
AGR,Aeródromo,ALTA GRACIA,"31°39' 4""S  64°23'38""W",-64.39388889,-31.65111111,533.0,Metros,Alta Gracia,2.0,E,PUBLICO,NOCONTROL,RANO,CIVIL,Nacional,NO,NO,CÓRDOBA
AII,Aeródromo,CHACABUCO/LAS DOS A,"34°48'40""S  60°30'60""W",-60.51661,-34.81116,60.0,Metros,Chacabuco,20.0,SSO,PRIVADO,NOCONTROL,RACE,AEROAPP,Nacional,NO,NO,BUENOS AIRES
AJA,Aeródromo,LA LAJA,"31°21' 5""S  68°28'23""W",-68.47305556,-31.35138889,650.0,Metros,La Laja,1.0,SSE,PRIVADO,NOCONTROL,RANO,CIVIL,Nacional,NO,NO,SAN JUAN
ALC,Aeródromo,AMEGHINO/LA CHACRA,"34°48'34""S  62°31'23""W",-62.52293,-34.80942,109.0,Metros,Florentino Ameghino,7.0,NO,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
ALL,Aeródromo,ALLEN,"38°57'30""S  67°48'10""W",-67.80277778,-38.95833333,290.0,Metros,Allen,3.5,E,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,RÍO NEGRO
ALR,Aeródromo,ALEJANDRO ROCA,"33°20'55""S  63°43'48""W",-63.73,-33.34861111,210.0,Metros,Alejandro Roca,1.5,SO,PRIVADO,NOCONTROL,RANO,CIVIL,Nacional,NO,NO,CÓRDOBA
ALT,Aeródromo,CRUZ ALTA,"33° 0'28""S  61°50'13""W",-61.83694444,-33.00777778,97.0,Metros,Cruz Alta,2.0,O,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,CÓRDOBA
ALV,Aeródromo,ALVEAR/AGROALVEAR SRL,"33° 4' 7""S  60°40' 1""W",-60.66682,-33.06853,32.0,Metros,Alvear,4.5,O,PRIVADO,NOCONTROL,RACE,AEROAPP,Nacional,NO,NO,SANTA FÉ
AMA,Aeródromo,ROBERTS/LA AMALIA,"35° 6' 2""S  62° 0'60""W",-62.01657,-35.10043,100.0,Metros,Roberts,6.5,NO,PRIVADO,NOCONTROL,RACE,AEROAPP,Nacional,NO,NO,BUENOS AIRES
AME,Aeródromo,AMEGHINO/SIGFRIDO ROHR,"34°49'50""S  62°28' 4""W",-62.46787,-34.83057,110.0,Metros,Florentino Ameghino,2.0,N,PRIVADO,NOCONTROL,RACE,AEROAPP,Nacional,NO,NO,BUENOS AIRES
AMG,Aeródromo,AMEGHINO,"34°50'43""S  62°28'58""W",-62.48266,-34.84541,110.0,Metros,Florentino Ameghino,2.5,ONO,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
ANA,Aeródromo,PARANÁ/AEROCLUB,"31°45'28""S  60°22'26""W",-60.37388889,-31.75777778,60.0,Metros,La Picada,15.0,ESE,PUBLICO,NOCONTROL,RACE,,Nacional,NO,NO,ENTRE RÍOS
