Origen,Destino,Aerolinea,dia_nombre
EZE,ECA,AEROLINEAS ARGENTINAS SA,Friday
EZE,JUJ,AEROLINEAS ARGENTINAS SA,Friday
EZE,USU,AEROLINEAS ARGENTINAS SA,Friday
EZE,BAR,AEROLINEAS ARGENTINAS SA,Friday
EZE,CRV,AEROLINEAS ARGENTINAS SA,Friday
EZE,TUC,AEROLINEAS ARGENTINAS SA,Friday
EZE,DOZ,AEROLINEAS ARGENTINAS SA,Friday
EZE,SAL,AEROLINEAS ARGENTINAS SA,Friday
EZE,CBA,AEROLINEAS ARGENTINAS SA,Friday
BAR,EZE,AEROLINEAS ARGENTINAS SA,Friday
NEU,EZE,AEROLINEAS ARGENTINAS SA,Friday
BAR,EZE,FB LÍNEAS AÉREAS - FLYBONDI,Friday
EZE,TRE,AEROLINEAS ARGENTINAS SA,Friday
TUC,MDP,AEROLINEAS ARGENTINAS SA,Friday
MDP,CBA,AEROLINEAS ARGENTINAS SA,Friday
EZE,VIE,AEROLINEAS ARGENTINAS SA,Friday
EZE,SIS,AEROLINEAS ARGENTINAS SA,Friday
EZE,POS,AEROLINEAS ARGENTINAS SA,Friday
ROS,EZE,AEROLINEAS ARGENTINAS SA,Friday
CBA,MDP,AEROLINEAS ARGENTINAS SA,Friday
EZE,NEU,AEROLINEAS ARGENTINAS SA,Friday
MDP,TUC,AEROLINEAS ARGENTINAS SA,Friday
CBA,BAR,AEROLINEAS ARGENTINAS SA,Friday
EZE,BCA,AEROLINEAS ARGENTINAS SA,Friday
EZE,CRR,FB LÍNEAS AÉREAS - FLYBONDI,Friday
EZE,ESQ,AEROLINEAS ARGENTINAS SA,Friday
ESQ,EZE,AEROLINEAS ARGENTINAS SA,Friday
CRV,EZE,AEROLINEAS ARGENTINAS SA,Friday
OSA,EZE,AEROLINEAS ARGENTINAS SA,Friday
POS,EZE,AEROLINEAS ARGENTINAS SA,Friday
GAL,EZE,AEROLINEAS ARGENTINAS SA,Friday
EZE,ECA,AEROLINEAS ARGENTINAS SA,Saturday
EZE,USU,AEROLINEAS ARGENTINAS SA,Saturday
EZE,JUJ,AEROLINEAS ARGENTINAS SA,Saturday
EZE,IGU,FB LÍNEAS AÉREAS - FLYBONDI,Saturday
EZE,USU,JETSMART AIRLINES S.A.,Saturday
EZE,CRV,AEROLINEAS ARGENTINAS SA,Saturday
EZE,DOZ,AEROLINEAS ARGENTINAS SA,Saturday
EZE,TUC,AEROLINEAS ARGENTINAS SA,Saturday
EZE,MDP,AEROLINEAS ARGENTINAS SA,Saturday
EZE,IGU,AEROLINEAS ARGENTINAS SA,Saturday
EZE,TRE,AEROLINEAS ARGENTINAS SA,Saturday
EZE,ROS,AEROLINEAS ARGENTINAS SA,Saturday
MDP,ROS,AEROLINEAS ARGENTINAS SA,Saturday
EZE,SRA,AEROLINEAS ARGENTINAS SA,Saturday
EZE,SIS,AEROLINEAS ARGENTINAS SA,Saturday
BAR,ROS,AEROLINEAS ARGENTINAS SA,Saturday
EZE,NEU,AEROLINEAS ARGENTINAS SA,Saturday
EZE,POS,AEROLINEAS ARGENTINAS SA,Saturday
EZE,BAR,AEROLINEAS ARGENTINAS SA,Saturday
EZE,CBA,AEROLINEAS ARGENTINAS SA,Saturday
BAR,EZE,AEROLINEAS ARGENTINAS SA,Saturday
CBA,EZE,AEROLINEAS ARGENTINAS SA,Saturday
TRE,EZE,AEROLINEAS ARGENTINAS SA,Saturday
TUC,EZE,AEROLINEAS ARGENTINAS SA,Saturday
EZE,DOZ,FB LÍNEAS AÉREAS - FLYBONDI,Saturday
EZE,ECA,AEROLINEAS ARGENTINAS SA,Sunday
EZE,BAR,AEROLINEAS ARGENTINAS SA,Sunday
EZE,USU,AEROLINEAS ARGENTINAS SA,Sunday
EZE,NEU,AEROLINEAS ARGENTINAS SA,Sunday
EZE,JUA,AEROLINEAS ARGENTINAS SA,Sunday
EZE,TUC,AEROLINEAS ARGENTINAS SA,Sunday
EZE,IGU,AEROLINEAS ARGENTINAS SA,Sunday
EZE,BAR,JETSMART AIRLINES S.A.,Sunday
EZE,DOZ,AEROLINEAS ARGENTINAS SA,Sunday
DOZ,SAL,AEROLINEAS ARGENTINAS SA,Sunday
EZE,TRE,AEROLINEAS ARGENTINAS SA,Sunday
MDP,DOZ,AEROLINEAS ARGENTINAS SA,Sunday
EZE,IGU,JETSMART AIRLINES S.A.,Sunday
EZE,SIS,AEROLINEAS ARGENTINAS SA,Sunday
BAR,CBA,AEROLINEAS ARGENTINAS SA,Sunday
EZE,ROS,AEROLINEAS ARGENTINAS SA,Sunday
BAR,EZE,AEROLINEAS ARGENTINAS SA,Sunday
DOZ,MDP,AEROLINEAS ARGENTINAS SA,Sunday
EZE,DOZ,JETSMART AIRLINES S.A.,Sunday
ECA,EZE,AEROLINEAS ARGENTINAS SA,Sunday
EZE,ESQ,AEROLINEAS ARGENTINAS SA,Sunday
DOZ,EZE,AEROLINEAS ARGENTINAS SA,Sunday
ESQ,EZE,AEROLINEAS ARGENTINAS SA,Sunday
DOZ,EZE,AEROLINEAS ARGENTINAS SA,Monday
SDE,EZE,AEROLINEAS ARGENTINAS SA,Monday
BAR,EZE,AEROLINEAS ARGENTINAS SA,Monday
CRV,EZE,AEROLINEAS ARGENTINAS SA,Monday
EZE,CRR,AEROLINEAS ARGENTINAS SA,Monday
EZE,USU,JETSMART AIRLINES S.A.,Monday
EZE,CBA,JETSMART AIRLINES S.A.,Monday
EZE,USU,AEROLINEAS ARGENTINAS SA,Monday
EZE,SAL,AEROLINEAS ARGENTINAS SA,Monday
JUJ,EZE,AEROLINEAS ARGENTINAS SA,Monday
EZE,ESQ,AEROLINEAS ARGENTINAS SA,Monday
EZE,DOZ,JETSMART AIRLINES S.A.,Monday
CBA,BAR,JETSMART AIRLINES S.A.,Monday
EZE,DOZ,AEROLINEAS ARGENTINAS SA,Monday
ECA,USU,AEROLINEAS ARGENTINAS SA,Monday
EZE,BAR,AEROLINEAS ARGENTINAS SA,Monday
EZE,MDP,AEROLINEAS ARGENTINAS SA,Monday
EZE,TRE,AEROLINEAS ARGENTINAS SA,Monday
SAL,EZE,AEROLINEAS ARGENTINAS SA,Monday
MDP,CBA,AEROLINEAS ARGENTINAS SA,Monday
ESQ,EZE,AEROLINEAS ARGENTINAS SA,Monday
SVO,EZE,AEROLINEAS ARGENTINAS SA,Monday
EZE,VIE,AEROLINEAS ARGENTINAS SA,Monday
BAR,CBA,JETSMART AIRLINES S.A.,Monday
EZE,SIS,AEROLINEAS ARGENTINAS SA,Monday
USU,EZE,AEROLINEAS ARGENTINAS SA,Monday
BAR,ROS,AEROLINEAS ARGENTINAS SA,Monday
EZE,CBA,FB LÍNEAS AÉREAS - FLYBONDI,Monday
EZE,JUA,AEROLINEAS ARGENTINAS SA,Monday
IGU,EZE,AEROLINEAS ARGENTINAS SA,Monday
MDP,EZE,AEROLINEAS ARGENTINAS SA,Monday
ECA,EZE,AEROLINEAS ARGENTINAS SA,Monday
EZE,ECA,AEROLINEAS ARGENTINAS SA,Monday
EZE,TUC,JETSMART AIRLINES S.A.,Monday
SIS,EZE,AEROLINEAS ARGENTINAS SA,Monday
VIE,EZE,AEROLINEAS ARGENTINAS SA,Monday
CBA,EZE,JETSMART AIRLINES S.A.,Monday
EZE,IGU,AEROLINEAS ARGENTINAS SA,Monday
EZE,ROS,AEROLINEAS ARGENTINAS SA,Monday
JUA,EZE,AEROLINEAS ARGENTINAS SA,Monday
EZE,NEU,JETSMART AIRLINES S.A.,Monday
ROS,EZE,AEROLINEAS ARGENTINAS SA,Monday
MDP,TUC,AEROLINEAS ARGENTINAS SA,Monday
EZE,DOZ,FB LÍNEAS AÉREAS - FLYBONDI,Monday
TUC,EZE,JETSMART AIRLINES S.A.,Monday
EZE,NEU,AEROLINEAS ARGENTINAS SA,Monday
EZE,BAR,JETSMART AIRLINES S.A.,Monday
EZE,CBA,AEROLINEAS ARGENTINAS SA,Monday
EZE,BCA,AEROLINEAS ARGENTINAS SA,Monday
CBA,EZE,AEROLINEAS ARGENTINAS SA,Monday
BCA,EZE,AEROLINEAS ARGENTINAS SA,Monday
EZE,POS,AEROLINEAS ARGENTINAS SA,Monday
EZE,TUC,AEROLINEAS ARGENTINAS SA,Monday
EZE,OSA,AEROLINEAS ARGENTINAS SA,Monday
TRE,EZE,FB LÍNEAS AÉREAS - FLYBONDI,Monday
POS,EZE,AEROLINEAS ARGENTINAS SA,Monday
EZE,GAL,AEROLINEAS ARGENTINAS SA,Monday
TUC,EZE,AEROLINEAS ARGENTINAS SA,Tuesday
OSA,EZE,AEROLINEAS ARGENTINAS SA,Tuesday
CBA,EZE,AEROLINEAS ARGENTINAS SA,Tuesday
GAL,EZE,AEROLINEAS ARGENTINAS SA,Tuesday
EZE,USU,AEROLINEAS ARGENTINAS SA,Tuesday
EZE,IGU,JETSMART AIRLINES S.A.,Tuesday
EZE,DOZ,AEROLINEAS ARGENTINAS SA,Tuesday
NEU,EZE,AEROLINEAS ARGENTINAS SA,Tuesday
EZE,CBA,AEROLINEAS ARGENTINAS SA,Tuesday
