Origen,Destino,Aerolinea,ruta,n_train
AER,AER,AEROLINEAS ARGENTINAS SA,AER|AER|AEROLINEAS ARGENTINAS SA,7
AER,BAR,FB LÍNEAS AÉREAS - FLYBONDI,AER|BAR|FB LÍNEAS AÉREAS - FLYBONDI,792
AER,BAR,JETSMART AIRLINES S.A.,AER|BAR|JETSMART AIRLINES S.A.,1263
AER,CAT,AEROLINEAS ARGENTINAS SA,AER|CAT|AEROLINEAS ARGENTINAS SA,248
AER,CBA,FB LÍNEAS AÉREAS - FLYBONDI,AER|CBA|FB LÍNEAS AÉREAS - FLYBONDI,825
AER,CBA,JETSMART AIRLINES S.A.,AER|CBA|JETSMART AIRLINES S.A.,1444
AER,CHP,AEROLINEAS ARGENTINAS SA,AER|CHP|AEROLINEAS ARGENTINAS SA,1315
AER,CRR,AEROLINEAS ARGENTINAS SA,AER|CRR|AEROLINEAS ARGENTINAS SA,740
AER,CRR,FB LÍNEAS AÉREAS - FLYBONDI,AER|CRR|FB LÍNEAS AÉREAS - FLYBONDI,55
AER,CRR,JETSMART AIRLINES S.A.,AER|CRR|JETSMART AIRLINES S.A.,65
AER,CRV,AEROLINEAS ARGENTINAS SA,AER|CRV|AEROLINEAS ARGENTINAS SA,4337
AER,CRV,FB LÍNEAS AÉREAS - FLYBONDI,AER|CRV|FB LÍNEAS AÉREAS - FLYBONDI,273
AER,DOZ,AEROLINEAS ARGENTINAS SA,AER|DOZ|AEROLINEAS ARGENTINAS SA,8469
AER,DOZ,FB LÍNEAS AÉREAS - FLYBONDI,AER|DOZ|FB LÍNEAS AÉREAS - FLYBONDI,807
AER,DOZ,JETSMART AIRLINES S.A.,AER|DOZ|JETSMART AIRLINES S.A.,1190
AER,DRY,AEROLINEAS ARGENTINAS SA,AER|DRY|AEROLINEAS ARGENTINAS SA,472
AER,DRY,FB LÍNEAS AÉREAS - FLYBONDI,AER|DRY|FB LÍNEAS AÉREAS - FLYBONDI,143
AER,ECA,AEROLINEAS ARGENTINAS SA,AER|ECA|AEROLINEAS ARGENTINAS SA,1912
AER,ECA,JETSMART AIRLINES S.A.,AER|ECA|JETSMART AIRLINES S.A.,89
AER,ESQ,AEROLINEAS ARGENTINAS SA,AER|ESQ|AEROLINEAS ARGENTINAS SA,702
AER,GAL,AEROLINEAS ARGENTINAS SA,AER|GAL|AEROLINEAS ARGENTINAS SA,1987
AER,GAL,FB LÍNEAS AÉREAS - FLYBONDI,AER|GAL|FB LÍNEAS AÉREAS - FLYBONDI,13
AER,GRA,AEROLINEAS ARGENTINAS SA,AER|GRA|AEROLINEAS ARGENTINAS SA,1093
AER,IGU,AEROLINEAS ARGENTINAS SA,AER|IGU|AEROLINEAS ARGENTINAS SA,5369
AER,JUA,AEROLINEAS ARGENTINAS SA,AER|JUA|AEROLINEAS ARGENTINAS SA,2235
AER,JUJ,AEROLINEAS ARGENTINAS SA,AER|JUJ|AEROLINEAS ARGENTINAS SA,1845
AER,JUJ,FB LÍNEAS AÉREAS - FLYBONDI,AER|JUJ|FB LÍNEAS AÉREAS - FLYBONDI,603
AER,JUJ,JETSMART AIRLINES S.A.,AER|JUJ|JETSMART AIRLINES S.A.,173
AER,LAR,AEROLINEAS ARGENTINAS SA,AER|LAR|AEROLINEAS ARGENTINAS SA,687
AER,MDP,AEROLINEAS ARGENTINAS SA,AER|MDP|AEROLINEAS ARGENTINAS SA,1807
AER,NEU,AEROLINEAS ARGENTINAS SA,AER|NEU|AEROLINEAS ARGENTINAS SA,2125
AER,NEU,FB LÍNEAS AÉREAS - FLYBONDI,AER|NEU|FB LÍNEAS AÉREAS - FLYBONDI,353
AER,OSA,AEROLINEAS ARGENTINAS SA,AER|OSA|AEROLINEAS ARGENTINAS SA,695
AER,PAR,AEROLINEAS ARGENTINAS SA,AER|PAR|AEROLINEAS ARGENTINAS SA,510
AER,POS,JETSMART AIRLINES S.A.,AER|POS|JETSMART AIRLINES S.A.,134
AER,ROS,AEROLINEAS ARGENTINAS SA,AER|ROS|AEROLINEAS ARGENTINAS SA,1342
AER,SAL,AEROLINEAS ARGENTINAS SA,AER|SAL|AEROLINEAS ARGENTINAS SA,3962
AER,SAL,FB LÍNEAS AÉREAS - FLYBONDI,AER|SAL|FB LÍNEAS AÉREAS - FLYBONDI,289
AER,SAL,JETSMART AIRLINES S.A.,AER|SAL|JETSMART AIRLINES S.A.,734
AER,SDE,AEROLINEAS ARGENTINAS SA,AER|SDE|AEROLINEAS ARGENTINAS SA,762
AER,SDE,FB LÍNEAS AÉREAS - FLYBONDI,AER|SDE|FB LÍNEAS AÉREAS - FLYBONDI,154
AER,SIS,AEROLINEAS ARGENTINAS SA,AER|SIS|AEROLINEAS ARGENTINAS SA,1830
AER,SRC,AEROLINEAS ARGENTINAS SA,AER|SRC|AEROLINEAS ARGENTINAS SA,3
AER,TRC,AEROLINEAS ARGENTINAS SA,AER|TRC|AEROLINEAS ARGENTINAS SA,185
AER,TRE,AEROLINEAS ARGENTINAS SA,AER|TRE|AEROLINEAS ARGENTINAS SA,1540
